token,frecuencia
1-1-1-1-2-1,30
3-3-0-0-0-0,29
3-2-3-2-3-2,29
1-0-1-2-2-2,29
0-1-4-4-4-4,29
1-1-2-2-2-1,29
2-0-0-1-2-2,28
3-3-3-3-3-1,28
3-3-3-3-5-5,28
2-5-1-2-2-2,28
4-0-1-1-1-1,28
5-1-1-2-2-2,28
0-0-1-0-0-1,28
1-0-0-0-0-1,27
2-0-1-1-2-2,27
4-4-4-4-2-4,27
1-1-1-2-2-1,27
2-2-0-1-1-2,26
1-1-1-2-1-1,26
0-1-0-1-1-1,26
4-4-0-0-1-1,26
0-0-1-1-0-1,26
2-2-5-1-2-2,26
2-0-1-1-1-2,25
2-0-0-0-1-1,25
1-0-1-1-2-2,25
2-0-1-1-1-1,25
4-4-4-2-4-4,25
4-2-4-4-4-4,25
4-4-4-5-1-1,25
3-3-3-5-2-2,25
1-1-2-1-1-1,24
2-0-0-1-1-1,24
1-1-2-1-2-2,24
4-4-4-1-1-2,24
2-2-0-0-1-2,24
3-3-5-2-2-2,24
0-0-5-5-0-0,23
4-4-0-0-0-1,23
0-1-1-0-1-1,23
4-4-2-4-4-4,23
0-5-5-0-0-0,23
3-3-3-3-5-0,23
3-3-3-5-0-0,23
1-2-2-2-2-0,23
0-0-1-0-1-1,23
3-0-0-0-0-0,23
5-0-0-0-0-1,23
4-1-1-2-2-2,22
2-0-0-0-0-1,22
0-0-0-1-0-1,22
1-1-2-2-1-1,22
4-4-1-1-2-2,22
1-1-2-2-2-4,21
1-2-2-2-1-1,21
2-2-2-2-4-2,21
2-2-2-5-0-0,21
4-4-4-4-5-0,21
0-0-0-5-5-0,21
1-2-2-2-1-2,20
0-0-0-0-2-2,20
2-5-5-2-2-2,20
2-2-2-5-5-0,20
2-2-2-5-5-5,20
1-2-2-4-4-4,20
0-5-5-5-5-5,20
2-2-2-2-1-0,19
1-2-2-1-2-2,19
4-0-0-0-1-1,19
2-2-5-5-2-2,19
5-0-0-1-1-1,19
5-5-5-2-2-2,19
2-2-2-5-5-2,19
1-1-1-1-1-5,19
2-4-2-2-2-2,19
2-2-2-4-2-2,18
0-1-1-4-4-4,18
1-1-1-2-1-2,18
2-0-0-1-1-2,18
0-1-0-0-1-1,18
4-2-2-4-4-4,18
1-2-2-1-1-1,18
4-4-4-0-1-2,18
5-1-1-1-1-1,18
0-1-1-1-0-1,17
1-1-2-4-4-4,17
0-0-0-5-5-5,17
4-0-0-1-1-1,17
2-2-4-2-2-2,17
4-0-1-4-4-4,17
1-2-1-1-1-1,17
2-2-5-5-0-0,16
4-4-5-1-1-1,16
4-4-4-2-2-4,16
0-1-1-0-0-1,16
4-4-1-1-1-2,16
0-0-5-5-5-5,16
0-0-4-4-4-4,16
3-3-3-3-1-1,16
1-0-0-1-0-0,16
4-4-4-0-1-4,15
2-2-2-5-1-1,15
4-4-2-2-4-4,15
1-1-0-1-1-2,15
4-1-1-1-2-2,15
2-2-1-0-0-0,15
4-4-4-4-1-2,15
2-2-4-4-4-2,15
1-2-2-2-2-4,15
4-4-0-1-4-4,15
1-1-2-2-4-4,15
5-0-0-0-1-1,15
5-0-1-1-1-1,14
2-2-2-1-0-0,14
5-0-0-0-0-5,14
0-1-0-0-0-1,14
1-0-1-1-1-2,14
1-1-2-2-1-2,14
3-3-3-3-0-1,14
5-0-2-2-2-2,14
2-2-5-0-0-0,14
1-2-1-1-2-2,13
2-0-0-2-2-2,13
2-2-2-5-0-2,13
1-0-1-0-1-1,13
2-2-2-0-0-2,13
2-2-2-5-5-1,13
2-1-2-2-2-1,13
1-2-2-1-1-2,13
4-4-4-1-2-2,13
4-4-0-1-1-2,13
4-4-0-1-2-2,13
4-2-2-2-4-4,13
0-1-0-1-2-2,13
1-1-0-1-2-2,13
1-4-4-4-4-1,12
2-2-5-1-1-2,12
4-0-1-1-2-2,12
1-1-1-2-2-0,12
0-0-0-0-0-2,12
5-1-1-1-2-2,12
4-4-4-5-0-1,12
4-4-2-2-2-4,12
3-1-2-2-2-2,12
1-2-2-2-0-1,12
2-2-0-0-2-2,12
1-2-1-1-1-2,12
4-4-0-1-1-4,12
4-4-1-2-2-2,12
2-4-4-4-2-2,12
2-2-0-0-1-0,12
4-0-1-1-4-4,11
3-3-3-3-2-0,11
0-1-1-1-2-1,11
3-3-1-2-2-2,11
1-1-2-1-1-2,11
4-0-1-2-2-2,11
4-5-1-1-1-1,11
1-0-2-2-2-2,11
2-5-0-2-2-2,11
4-4-1-1-1-4,11
3-2-2-4-4-4,11
2-5-1-1-2-2,11
5-1-1-1-1-2,11
5-0-0-2-2-2,11
1-0-0-1-1-0,11
4-1-2-2-2-2,11
3-3-3-1-1-1,11
4-0-0-0-0-1,11
1-1-2-2-2-0,11
2-2-5-0-2-2,11
2-2-1-1-2-1,10
2-5-5-0-0-0,10
4-1-1-1-4-4,10
5-5-5-5-2-2,10
0-1-2-1-2-2,10
2-1-0-0-0-0,10
1-1-1-1-5-5,10
1-1-0-0-1-0,10
1-1-0-1-0-1,10
4-4-4-0-2-2,10
0-1-0-0-1-0,10
1-1-2-2-0-0,10
2-2-5-5-5-5,10
4-1-1-1-1-2,10
0-1-0-1-1-2,10
2-2-1-1-0-0,10
3-3-2-2-4-4,10
1-2-2-2-0-0,10
3-3-3-3-1-2,10
3-3-1-1-1-1,10
0-0-1-0-1-2,10
3-3-5-0-0-0,10
4-4-4-4-0-2,10
3-3-3-0-0-1,10
3-3-3-5-5-2,10
1-1-1-0-1-0,9
3-3-0-0-0-1,9
3-3-3-1-2-2,9
3-3-3-5-5-0,9
3-2-2-2-0-0,9
1-0-1-1-1-0,9
2-2-2-2-3-5,9
5-0-1-2-2-2,9
2-5-5-5-5-5,9
3-5-5-2-2-2,9
3-3-3-3-5-3,9
4-0-0-4-4-4,9
2-3-2-2-2-1,9
0-1-1-1-4-4,9
3-2-4-4-4-4,9
1-1-2-2-0-1,9
2-2-1-2-2-1,9
2-3-5-2-2-2,9
0-0-5-5-5-0,9
4-4-4-5-0-0,9
5-0-5-5-5-5,9
2-0-0-1-0-1,9
5-5-0-0-1-1,9
2-4-4-2-2-2,9
3-3-2-4-4-4,9
2-2-2-1-1-0,9
0-0-1-0-1-0,9
2-5-5-5-2-2,9
2-1-1-0-0-0,9
5-5-0-0-0-1,9
1-0-0-1-2-2,8
3-2-1-2-2-2,8
3-3-5-5-2-2,8
2-2-2-2-3-0,8
0-1-2-4-4-4,8
1-2-2-0-0-0,8
2-1-0-0-0-1,8
3-3-3-5-5-5,8
2-0-0-0-2-2,8
3-5-0-0-0-0,8
3-2-2-2-4-4,8
4-0-2-2-2-2,8
1-2-2-0-1-2,8
3-2-2-2-2-1,8
1-2-2-2-2-5,8
2-2-2-0-1-0,8
2-2-2-4-4-2,8
2-2-2-1-2-1,8
0-1-1-2-2-1,8
3-3-3-3-0-2,8
3-1-1-1-1-1,8
0-1-0-1-0-0,8
2-4-4-4-4-0,8
3-3-3-0-1-1,8
4-4-5-0-1-1,8
1-0-0-0-1-0,8
2-3-2-2-2-4,8
2-2-1-1-1-0,8
5-0-5-0-0-0,8
3-3-3-3-2-1,8
5-5-1-1-1-1,8
4-4-5-1-1-2,8
2-2-4-4-4-1,8
5-2-2-2-2-3,8
4-4-0-2-2-2,8
0-5-5-5-0-0,8
2-2-5-5-5-2,8
0-0-1-2-2-0,8
3-2-2-2-2-4,8
3-2-2-2-1-2,8
5-0-0-5-5-5,8
4-4-4-4-5-5,8
1-1-1-5-5-5,8
4-4-4-5-1-2,8
3-3-3-2-4-4,8
1-1-1-0-1-2,7
0-0-1-4-4-4,7
4-4-4-0-0-4,7
3-3-3-3-2-4,7
2-1-1-4-4-4,7
0-1-1-0-1-2,7
2-2-3-2-3-5,7
4-4-0-0-4-4,7
5-5-5-5-0-5,7
3-3-3-2-2-1,7
4-4-4-4-1-0,7
2-2-4-4-2-2,7
2-2-2-1-0-1,7
1-1-1-2-2-4,7
1-1-0-2-2-2,7
5-5-0-1-1-1,7
1-0-1-1-0-0,7
5-0-1-1-1-2,7
5-5-0-0-5-5,7
3-0-0-0-0-1,7
2-2-2-4-2-4,7
4-4-5-0-0-0,7
2-1-1-1-0-1,7
4-4-4-4-5-2,7
1-0-0-1-1-2,7
1-1-1-1-5-1,7
5-5-1-2-2-2,7
4-4-5-1-2-2,7
1-1-1-5-1-1,7
3-3-2-2-1-1,7
2-2-0-0-0-2,7
1-4-4-4-4-0,7
2-0-0-0-1-2,7
2-4-4-4-4-2,7
5-5-5-0-0-5,7
3-4-4-4-4-4,7
2-2-2-3-0-0,7
0-1-2-2-0-1,7
0-5-0-0-1-1,7
4-2-2-2-2-4,7
3-2-2-2-2-5,7
5-0-0-0-5-5,7
3-0-1-2-2-2,7
1-2-2-2-2-3,7
5-5-0-0-0-5,7
4-5-1-2-2-2,7
3-0-0-1-2-2,7
2-0-1-1-1-0,7
2-3-2-2-2-0,7
5-5-1-1-2-2,7
5-0-0-5-0-0,7
2-1-1-1-2-1,7
2-2-0-1-1-0,7
3-3-3-0-0-2,6
5-5-5-5-5-2,6
1-1-1-5-0-0,6
3-3-5-5-5-5,6
1-1-1-1-5-0,6
3-5-1-2-2-2,6
2-2-2-2-1-5,6
0-0-1-1-1-4,6
1-0-0-1-0-1,6
2-2-2-3-2-0,6
1-1-5-5-5-5,6
1-0-1-0-0-0,6
5-5-0-5-0-0,6
2-2-5-5-1-2,6
2-2-5-5-1-1,6
2-2-2-5-0-1,6
5-4-5-5-5-5,6
1-1-1-2-1-0,6
0-0-0-4-4-4,6
0-1-2-2-2-0,6
1-1-1-2-4-4,6
3-3-3-0-2-2,6
2-2-2-3-3-0,6
3-3-0-1-2-2,6
3-3-5-0-0-2,6
5-0-1-1-2-2,6
1-1-5-5-0-0,6
2-2-2-3-5-2,6
3-3-3-2-0-1,6
3-3-3-0-1-2,6
3-0-1-1-2-2,6
2-2-2-1-1-4,6
4-4-2-4-4-2,6
5-0-0-1-2-2,6
5-2-2-2-2-5,6
5-5-4-4-4-4,6
2-1-2-1-2-2,6
2-5-0-0-0-0,6
5-0-0-0-1-2,6
1-4-4-1-4-4,6
1-1-0-0-1-2,6
2-1-1-2-2-1,6
2-2-0-1-0-1,6
2-1-4-4-4-4,6
4-5-0-1-1-1,6
4-4-5-2-2-2,6
3-3-0-0-1-1,6
4-5-2-2-2-2,6
3-3-0-1-1-2,6
1-5-5-5-5-5,6
2-0-0-0-1-0,6
0-1-1-1-1-5,6
4-4-4-1-1-0,6
0-1-0-1-1-0,6
5-0-0-0-2-2,6
3-1-1-2-2-2,6
2-1-2-2-1-1,6
4-4-4-5-2-2,6
4-5-5-5-5-5,6
2-2-4-4-4-0,6
2-1-2-4-4-4,6
5-5-5-0-0-1,6
2-2-2-2-3-1,6
2-1-1-2-1-1,6
1-4-4-4-1-4,6
5-5-5-0-1-1,5
3-2-2-1-2-2,5
2-2-2-2-1-4,5
5-5-5-0-5-5,5
1-5-5-0-0-0,5
3-3-3-2-2-4,5
5-2-2-2-5-2,5
2-2-3-2-2-1,5
1-2-2-0-0-1,5
0-5-0-5-0-0,5
2-3-3-2-2-4,5
0-1-0-0-5-0,5
1-0-0-2-2-2,5
5-5-5-5-5-1,5
2-3-3-2-0-0,5
3-3-2-2-2-1,5
2-0-5-0-0-0,5
2-2-1-2-1-2,5
3-3-5-5-0-0,5
3-2-1-1-1-1,5
2-1-2-2-1-2,5
0-0-1-1-4-4,5
1-2-0-2-2-2,5
0-0-0-1-1-5,5
2-2-2-0-2-0,5
3-3-3-2-0-0,5
1-1-0-1-1-0,5
2-2-5-5-0-1,5
0-2-2-1-2-2,5
0-0-1-1-2-1,5
1-1-1-1-2-4,5
0-1-1-2-1-1,5
0-0-5-0-0-1,5
2-2-5-0-0-5,5
3-3-2-0-0-0,5
3-0-2-2-2-2,5
2-2-2-4-4-1,5
0-1-1-2-2-0,5
3-2-0-0-0-0,5
0-0-0-0-1-5,5
0-1-2-1-1-1,5
2-0-1-4-4-4,5
1-2-0-1-1-1,5
1-1-4-4-4-1,5
4-0-1-1-1-2,5
2-2-5-1-1-1,5
5-5-5-5-5-4,5
2-2-2-2-4-0,5
4-4-1-4-4-1,5
4-2-4-4-2-2,5
2-1-2-2-2-0,5
4-4-4-1-0-1,5
3-3-1-1-2-2,5
5-5-0-0-5-0,5
1-5-1-1-1-1,5
0-1-1-2-1-2,5
2-0-0-1-1-0,5
3-3-3-3-5-1,5
2-2-1-1-2-0,5
3-3-0-0-2-2,5
2-2-5-2-2-5,5
1-2-2-0-1-1,5
0-2-2-2-1-2,5
3-0-0-2-2-2,5
3-3-5-0-0-1,5
3-1-1-1-1-2,5
2-2-1-2-4-4,5
4-4-4-2-4-2,5
3-2-2-2-1-1,5
2-2-3-3-2-0,5
1-1-5-0-1-1,5
0-5-5-5-5-0,5
2-3-3-3-3-0,5
5-2-2-5-2-2,5
5-5-5-0-5-0,5
3-3-2-1-2-2,5
2-5-5-1-2-2,5
4-0-0-1-4-4,5
1-1-5-1-1-1,5
2-1-0-1-2-2,5
0-0-0-5-1-1,5
2-2-4-2-4-4,5
2-2-3-5-2-2,5
1-0-0-5-0-0,5
1-2-0-5-0-0,5
3-3-2-0-0-1,5
1-1-1-5-5-0,5
4-4-4-1-4-1,5
2-2-5-0-1-1,5
0-1-2-2-2-4,5
3-2-2-1-1-2,5
0-5-0-5-5-5,5
2-5-0-0-0-1,5
5-5-0-5-5-5,5
4-5-1-1-2-2,5
3-3-0-2-2-2,5
1-1-5-0-0-0,5
2-5-1-1-1-1,5
2-2-1-1-4-4,5
2-5-2-5-2-2,4
2-0-1-1-0-0,4
0-0-1-2-2-1,4
4-4-0-1-1-0,4
2-4-4-4-4-1,4
2-2-4-2-2-4,4
2-2-3-3-0-0,4
3-5-5-5-5-5,4
3-3-3-3-2-5,4
2-2-5-1-2-5,4
2-1-1-2-2-0,4
3-3-3-5-2-3,4
3-3-3-5-3-2,4
3-2-2-0-0-0,4
2-2-1-0-1-2,4
1-0-4-4-4-4,4
5-3-3-3-3-3,4
3-2-0-0-1-1,4
0-1-1-0-1-0,4
5-0-5-5-0-0,4
1-1-1-2-0-0,4
2-2-4-4-2-4,4
2-2-5-5-5-0,4
5-5-0-1-2-2,4
5-5-0-0-1-2,4
2-4-2-2-4-4,4
5-5-5-5-4-4,4
4-4-0-0-1-4,4
2-4-4-2-4-4,4
2-2-3-2-2-5,4
2-3-2-2-2-5,4
1-0-1-4-4-4,4
1-1-2-0-0-0,4
2-2-0-2-0-0,4
3-3-0-1-1-1,4
3-3-3-2-1-1,4
2-2-3-0-0-0,4
5-0-0-1-0-1,4
2-2-2-1-2-4,4
2-5-5-0-0-1,4
4-4-1-1-0-1,4
2-2-1-0-0-1,4
0-1-1-1-1-4,4
4-1-2-2-2-4,4
1-1-2-1-0-0,4
2-3-4-4-4-4,4
1-2-1-0-0-0,4
2-2-3-3-3-0,4
1-1-2-0-0-2,4
5-5-5-5-1-1,4
4-4-0-0-1-2,4
5-5-0-0-2-2,4
1-4-4-4-1-1,4
0-0-5-0-5-5,4
2-1-0-0-1-1,4
5-5-5-1-1-1,4
2-3-2-3-5-2,4
3-3-3-2-1-2,4
0-1-2-2-1-2,4
1-1-0-1-4-4,4
2-5-5-1-1-1,4
0-5-1-1-2-2,4
1-5-1-2-2-2,4
0-5-2-2-2-2,4
4-0-1-1-1-4,4
3-3-0-0-0-2,4
3-0-1-1-1-2,4
2-1-1-2-4-4,4
0-0-0-0-5-1,4
2-5-2-2-5-2,4
3-3-0-0-1-2,4
0-0-5-0-0-5,4
2-0-0-1-0-0,4
3-3-2-2-2-0,4
0-0-0-0-4-4,4
0-0-1-2-1-2,4
2-3-2-2-3-5,4
3-3-2-2-2-5,4
3-2-5-2-2-2,4
0-1-2-2-1-1,4
1-1-5-0-0-1,4
4-4-4-1-4-2,4
2-3-2-2-1-2,4
0-1-1-0-2-2,4
2-3-3-3-0-0,4
1-5-0-0-0-1,4
2-5-0-0-5-0,4
2-2-2-3-1-1,4
3-0-0-1-1-1,4
4-5-1-1-1-2,4
0-5-1-2-2-2,4
3-3-3-5-1-1,4
5-4-4-4-4-5,4
2-4-4-4-1-1,4
0-0-0-5-0-5,4
3-3-3-1-1-2,4
4-5-0-0-0-0,4
0-2-2-2-2-0,4
1-1-4-4-4-0,4
2-4-2-4-4-4,4
2-3-2-2-0-0,4
3-3-3-5-3-3,4
1-5-0-0-0-0,4
3-0-0-0-2-2,4
5-0-0-1-0-0,4
3-5-5-0-0-0,4
0-0-1-2-1-1,4
5-0-0-1-1-2,4
3-0-0-0-1-1,4
1-2-2-0-2-2,4
0-5-5-0-0-1,4
4-4-4-5-5-4,4
4-4-1-4-1-1,4
0-0-2-2-2-5,4
0-5-0-0-0-1,4
4-1-1-2-4-4,4
0-0-0-1-5-5,4
4-0-0-1-1-2,4
1-5-5-5-5-0,4
0-1-1-2-2-4,4
0-0-2-2-2-1,4
1-4-1-4-4-4,4
2-1-2-2-2-4,4
2-2-1-1-1-5,4
0-1-0-0-1-2,4
3-5-0-0-2-2,4
5-5-5-5-4-5,4
1-4-4-4-0-1,4
5-4-4-5-5-5,4
5-0-0-0-1-0,4
2-0-0-0-0-2,4
3-5-0-0-1-1,4
2-2-1-2-2-0,4
2-2-2-2-0-5,4
2-1-1-1-1-0,4
0-1-0-0-2-2,4
1-1-2-2-1-0,4
2-2-2-5-1-0,4
2-2-3-2-2-0,4
1-5-0-1-1-1,4
0-2-2-2-1-1,3
2-2-2-0-5-1,3
4-1-2-4-4-4,3
2-1-1-2-1-2,3
3-3-5-2-3-3,3
3-2-3-2-1-1,3
2-0-1-0-0-0,3
2-5-2-2-2-0,3
3-3-3-2-2-0,3
1-0-1-2-1-1,3
2-2-1-4-4-4,3
5-0-0-5-5-0,3
1-5-5-5-1-1,3
2-2-1-2-1-1,3
1-2-2-1-2-1,3
2-2-2-5-2-5,3
1-2-1-2-2-1,3
3-3-3-3-0-5,3
2-2-4-4-1-1,3
3-2-0-2-2-2,3
0-1-1-1-2-5,3
2-2-2-3-4-4,3
5-5-0-0-0-2,3
4-0-0-1-2-2,3
4-4-1-1-2-4,3
4-4-4-2-2-1,3
5-0-5-5-5-0,3
2-3-0-0-1-2,3
0-2-0-0-1-2,3
5-5-5-5-0-1,3
0-0-0-5-0-1,3
2-2-0-1-0-0,3
1-1-1-1-0-5,3
0-1-1-0-5-0,3
3-3-2-0-1-2,3
2-1-1-2-2-4,3
2-1-2-0-2-2,3
3-0-0-0-1-0,3
3-3-5-1-2-2,3
3-2-3-3-0-1,3
4-4-5-5-4-4,3
4-5-5-4-4-4,3
0-2-2-2-5-1,3
4-4-1-0-0-0,3
1-0-0-0-1-2,3
4-1-2-2-4-4,3
1-1-2-2-1-5,3
0-0-1-1-5-5,3
1-2-2-1-0-0,3
2-3-0-2-2-2,3
4-1-1-1-1-4,3
0-1-0-1-0-1,3
3-3-2-0-1-1,3
5-0-5-2-2-2,3
1-1-4-4-1-1,3
1-0-1-1-1-5,3
2-2-2-4-1-2,3
3-3-1-1-1-2,3
4-4-0-1-2-4,3
0-2-2-2-4-4,3
2-4-4-4-2-4,3
0-1-2-0-2-2,3
4-4-5-5-5-5,3
5-5-0-5-5-0,3
2-3-2-2-5-2,3
2-1-2-2-0-2,3
2-4-2-2-2-4,3
2-1-2-2-3-2,3
5-1-1-5-5-0,3
3-1-1-1-2-2,3
1-4-1-1-1-1,3
5-1-2-1-2-2,3
2-0-2-2-1-2,3
2-1-1-2-0-0,3
2-0-1-0-1-1,3
2-4-4-4-0-1,3
5-5-4-5-5-5,3
1-1-0-4-4-4,3
0-5-0-0-5-5,3
2-2-3-1-2-2,3
2-2-3-3-2-1,3
1-2-1-0-1-2,3
3-3-5-3-2-2,3
0-5-1-1-1-1,3
1-2-1-1-0-1,3
2-2-2-4-4-0,3
2-1-0-1-0-1,3
0-0-1-0-0-5,3
0-2-2-0-0-1,3
2-2-0-1-2-1,3
2-1-1-1-4-4,3
1-2-5-2-2-2,3
1-2-2-3-2-2,3
4-4-4-4-2-0,3
1-0-1-0-1-2,3
1-2-1-1-1-0,3
0-2-2-2-2-1,3
5-3-2-2-2-2,3
3-2-2-3-3-0,3
2-1-1-1-0-0,3
0-1-1-1-5-0,3
0-2-2-2-0-2,3
2-5-1-2-5-1,3
2-3-3-3-3-5,3
1-1-1-1-2-0,3
4-0-1-2-4-4,3
2-2-2-3-2-4,3
5-0-5-0-0-1,3
2-2-2-3-1-2,3
4-4-4-0-1-0,3
2-3-3-2-1-2,3
4-4-4-1-0-0,3
5-5-5-4-4-4,3
3-3-3-0-3-3,3
1-1-2-0-1-1,3
4-1-4-4-4-1,3
2-2-3-0-0-1,3
5-5-4-5-4-5,3
4-2-2-4-2-2,3
3-2-2-5-2-2,3
2-3-2-3-2-1,3
0-0-1-2-2-3,3
0-0-0-1-1-4,3
2-3-3-2-3-0,3
5-0-0-5-0-5,3
2-2-2-1-4-4,3
0-0-0-0-0-4,3
1-2-0-0-0-0,3
0-0-0-1-2-1,3
3-2-0-1-1-2,3
3-3-3-3-4-4,3
1-1-1-5-0-1,3
3-0-0-1-1-2,3
5-5-5-4-5-4,3
1-2-2-0-1-0,3
3-5-3-3-3-3,3
0-2-0-2-2-2,3
5-0-0-0-0-2,3
4-1-1-4-4-1,3
1-1-2-1-0-1,3
4-4-2-2-4-2,3
3-0-0-0-1-2,3
